type,policy_name,target_url,target_dt,snapshot_dt,snapshot_url,word_count
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2015-10-12,2015-02-24T07:34:30Z,http://web.archive.org/web/20150224073430/https://www.spotify.com/us/legal/privacy-policy/,2948
secondary,Mobile Terms,https://www.spotify.com/us/legal/mobile-terms-and-conditions/,2015-10-12,2015-03-24T00:39:40Z,http://web.archive.org/web/20150324003940/https://www.spotify.com/us/legal/mobile-terms-and-conditions/,626
secondary,copyright-policy,https://www.spotify.com/us/legal/copyright-policy/,2015-10-12,2015-03-24T00:12:49Z,http://web.archive.org/web/20150324001249/https://www.spotify.com/us/legal/copyright-policy/,196
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2015-11-12,2015-02-24T07:34:30Z,http://web.archive.org/web/20150224073430/https://www.spotify.com/us/legal/privacy-policy/,2948
secondary,Mobile Terms,https://www.spotify.com/us/legal/mobile-terms-and-conditions/,2015-11-12,2015-03-24T00:39:40Z,http://web.archive.org/web/20150324003940/https://www.spotify.com/us/legal/mobile-terms-and-conditions/,626
secondary,copyright-policy,https://www.spotify.com/us/legal/copyright-policy/,2015-11-12,2015-03-24T00:12:49Z,http://web.archive.org/web/20150324001249/https://www.spotify.com/us/legal/copyright-policy/,196
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2015-12-12,2015-02-24T07:34:30Z,http://web.archive.org/web/20150224073430/https://www.spotify.com/us/legal/privacy-policy/,2948
secondary,Mobile Terms,https://www.spotify.com/us/legal/mobile-terms-and-conditions/,2015-12-12,2015-03-24T00:39:40Z,http://web.archive.org/web/20150324003940/https://www.spotify.com/us/legal/mobile-terms-and-conditions/,626
secondary,copyright-policy,https://www.spotify.com/us/legal/copyright-policy/,2015-12-12,2015-03-24T00:12:49Z,http://web.archive.org/web/20150324001249/https://www.spotify.com/us/legal/copyright-policy/,196
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2016-01-12,2016-01-14T12:39:15Z,http://web.archive.org/web/20160114123915/https://www.spotify.com/us/legal/privacy-policy/,5062
secondary,Spotify’s copyright policy,https://www.spotify.com/us/legal/copyright-policy/,2016-01-12,2016-03-24T12:18:34Z,http://web.archive.org/web/20160324121834/https://www.spotify.com/us/legal/copyright-policy/,196
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2016-02-12,2016-01-14T12:39:15Z,http://web.archive.org/web/20160114123915/https://www.spotify.com/us/legal/privacy-policy/,5062
secondary,Spotify’s copyright policy,https://www.spotify.com/us/legal/copyright-policy/,2016-02-12,2016-03-24T12:18:34Z,http://web.archive.org/web/20160324121834/https://www.spotify.com/us/legal/copyright-policy/,196
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2016-03-12,2016-01-14T12:39:15Z,http://web.archive.org/web/20160114123915/https://www.spotify.com/us/legal/privacy-policy/,5062
secondary,Spotify’s copyright policy,https://www.spotify.com/us/legal/copyright-policy/,2016-03-12,2016-03-24T12:18:34Z,http://web.archive.org/web/20160324121834/https://www.spotify.com/us/legal/copyright-policy/,196
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2016-04-12,2016-01-14T12:39:15Z,http://web.archive.org/web/20160114123915/https://www.spotify.com/us/legal/privacy-policy/,5062
secondary,Spotify’s copyright policy,https://www.spotify.com/us/legal/copyright-policy/,2016-04-12,2016-03-24T12:18:34Z,http://web.archive.org/web/20160324121834/https://www.spotify.com/us/legal/copyright-policy/,196
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2016-05-12,2016-01-14T12:39:15Z,http://web.archive.org/web/20160114123915/https://www.spotify.com/us/legal/privacy-policy/,5062
secondary,Spotify’s copyright policy,https://www.spotify.com/us/legal/copyright-policy/,2016-05-12,2016-03-24T12:18:34Z,http://web.archive.org/web/20160324121834/https://www.spotify.com/us/legal/copyright-policy/,196
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2016-06-12,2016-01-14T12:39:15Z,http://web.archive.org/web/20160114123915/https://www.spotify.com/us/legal/privacy-policy/,5062
secondary,Spotify’s copyright policy,https://www.spotify.com/us/legal/copyright-policy/,2016-06-12,2016-03-24T12:18:34Z,http://web.archive.org/web/20160324121834/https://www.spotify.com/us/legal/copyright-policy/,196
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2016-07-12,2016-01-14T12:39:15Z,http://web.archive.org/web/20160114123915/https://www.spotify.com/us/legal/privacy-policy/,5062
secondary,Spotify’s copyright policy,https://www.spotify.com/us/legal/copyright-policy/,2016-07-12,2016-03-24T12:18:34Z,http://web.archive.org/web/20160324121834/https://www.spotify.com/us/legal/copyright-policy/,196
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2016-08-12,2016-01-14T12:39:15Z,http://web.archive.org/web/20160114123915/https://www.spotify.com/us/legal/privacy-policy/,5062
secondary,Spotify’s copyright policy,https://www.spotify.com/us/legal/copyright-policy/,2016-08-12,2016-03-24T12:18:34Z,http://web.archive.org/web/20160324121834/https://www.spotify.com/us/legal/copyright-policy/,196
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2016-09-12,2016-01-14T12:39:15Z,http://web.archive.org/web/20160114123915/https://www.spotify.com/us/legal/privacy-policy/,5062
secondary,Spotify’s copyright policy,https://www.spotify.com/us/legal/copyright-policy/,2016-09-12,2016-03-24T12:18:34Z,http://web.archive.org/web/20160324121834/https://www.spotify.com/us/legal/copyright-policy/,196
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2016-10-12,2016-01-14T12:39:15Z,http://web.archive.org/web/20160114123915/https://www.spotify.com/us/legal/privacy-policy/,5062
secondary,Spotify’s copyright policy,https://www.spotify.com/us/legal/copyright-policy/,2016-10-12,2016-03-24T12:18:34Z,http://web.archive.org/web/20160324121834/https://www.spotify.com/us/legal/copyright-policy/,196
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2016-11-12,2016-01-14T12:39:15Z,http://web.archive.org/web/20160114123915/https://www.spotify.com/us/legal/privacy-policy/,5062
secondary,Spotify’s copyright policy,https://www.spotify.com/us/legal/copyright-policy/,2016-11-12,2016-03-24T12:18:34Z,http://web.archive.org/web/20160324121834/https://www.spotify.com/us/legal/copyright-policy/,196
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2016-12-12,2016-01-14T12:39:15Z,http://web.archive.org/web/20160114123915/https://www.spotify.com/us/legal/privacy-policy/,5062
secondary,Spotify’s copyright policy,https://www.spotify.com/us/legal/copyright-policy/,2016-12-12,2016-03-24T12:18:34Z,http://web.archive.org/web/20160324121834/https://www.spotify.com/us/legal/copyright-policy/,196
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2017-01-12,2017-01-17T11:23:26Z,http://web.archive.org/web/20170117112326/https://www.spotify.com/us/legal/privacy-policy/,5062
secondary,Spotify’s copyright policy,https://www.spotify.com/us/legal/copyright-policy/,2017-01-12,2017-02-02T16:42:08Z,http://web.archive.org/web/20170202164208/https://www.spotify.com/us/legal/copyright-policy/,199
secondary,Privacy Policy,https://www.spotify.com/us/legal/privacy-policy/,2017-02-12,2017-01-17T11:23:26Z,http://web.archive.org/web/20170117112326/https://www.spotify.com/us/legal/privacy-policy/,5062
