type,policy_name,target_url,target_dt,snapshot_dt,snapshot_url,word_count
primary,Terms of Use,https://gotinder.com/terms,2016-06-01,2016-01-08T17:03:03Z,http://web.archive.org/web/20160108170303/http://www.gotinder.com:80/terms,64
primary,Terms of Use,https://gotinder.com/terms,2016-07-01,2016-01-08T17:03:03Z,http://web.archive.org/web/20160108170303/http://www.gotinder.com:80/terms,64
primary,Terms of Use,https://gotinder.com/terms,2016-08-01,2016-01-08T17:03:03Z,http://web.archive.org/web/20160108170303/http://www.gotinder.com:80/terms,64
primary,Terms of Use,https://gotinder.com/terms,2016-09-01,2016-01-08T17:03:03Z,http://web.archive.org/web/20160108170303/http://www.gotinder.com:80/terms,64
primary,Terms of Use,https://gotinder.com/terms,2016-10-01,2016-01-08T17:03:03Z,http://web.archive.org/web/20160108170303/http://www.gotinder.com:80/terms,64
primary,Terms of Use,https://gotinder.com/terms,2016-11-01,2016-01-08T17:03:03Z,http://web.archive.org/web/20160108170303/http://www.gotinder.com:80/terms,64
primary,Terms of Use,https://gotinder.com/terms,2016-12-01,2016-01-08T17:03:03Z,http://web.archive.org/web/20160108170303/http://www.gotinder.com:80/terms,64
primary,Terms of Use,https://gotinder.com/terms,2017-01-01,2016-12-30T19:55:27Z,http://web.archive.org/web/20161230195527/https://www.gotinder.com/terms,64
primary,Terms of Use,https://gotinder.com/terms,2017-02-01,2016-12-30T19:55:27Z,http://web.archive.org/web/20161230195527/https://www.gotinder.com/terms,64
primary,Terms of Use,https://gotinder.com/terms,2017-03-01,2016-12-30T19:55:27Z,http://web.archive.org/web/20161230195527/https://www.gotinder.com/terms,64
primary,Terms of Use,https://gotinder.com/terms,2017-04-01,2016-12-30T19:55:27Z,http://web.archive.org/web/20161230195527/https://www.gotinder.com/terms,64
primary,Terms of Use,https://gotinder.com/terms,2017-05-01,2016-12-30T19:55:27Z,http://web.archive.org/web/20161230195527/https://www.gotinder.com/terms,64
primary,Terms of Use,https://gotinder.com/terms,2017-06-01,2016-12-30T19:55:27Z,http://web.archive.org/web/20161230195527/https://www.gotinder.com/terms,64
primary,Terms of Use,https://gotinder.com/terms,2017-07-01,2016-12-30T19:55:27Z,http://web.archive.org/web/20161230195527/https://www.gotinder.com/terms,64
