type,policy_name,target_url,target_dt,snapshot_dt,snapshot_url,word_count
secondary,Self-Serve Ad Terms,https://www.facebook.com/legal/self_service_ads_terms,2016-10-15,2016-01-15T23:54:24Z,http://web.archive.org/web/20160115235424/https://www.facebook.com/legal/self_service_ads_terms,676
secondary,Advertising Policies,https://www.facebook.com/ad_guidelines.php,2016-10-15,2016-03-12T23:34:27Z,http://web.archive.org/web/20160312233427/https://www.facebook.com/ad_guidelines.php,NA
secondary,Pages Terms,https://www.facebook.com/page_guidelines.php,2016-10-15,2016-01-15T13:28:26Z,http://web.archive.org/web/20160115132826/https://www.facebook.com/page_guidelines.php,1446
secondary,index,https://www.facebook.com/terms/provisions/german/index.php,2016-10-15,2015-12-30T10:53:11Z,http://web.archive.org/web/20151230105311/https://www.facebook.com/terms/provisions/german/index.php,508
secondary,l.php?u=https%3A%2F%2Fwww.facebookbrand.com%2Ftrademarks%2F&h=UAQGxoVRa&s=1,https://www.facebook.com/l.php?u=https%3A%2F%2Fwww.facebookbrand.com%2Ftrademarks%2F&h=UAQGxoVRa&s=1,2016-10-15,NA,NA,NA
secondary,Facebook Platform Policies,http://developers.facebook.com/policy/,2016-10-15,2016-01-15T18:27:44Z,http://web.archive.org/web/20160115182744/https://developers.facebook.com/policy,3903
secondary,Promotions Guidelines,https://www.facebook.com/page_guidelines.php,2016-10-15,2016-01-15T13:28:26Z,http://web.archive.org/web/20160115132826/https://www.facebook.com/page_guidelines.php,1446
secondary,Data Policy,https://www.facebook.com/about/privacy/,2016-11-15,2016-01-16T02:40:08Z,http://web.archive.org/web/20160116024008/https://www.facebook.com/about/privacy,2733
secondary,Payments Terms,https://www.facebook.com/payments_terms,2016-11-15,2016-01-18T05:29:34Z,http://web.archive.org/web/20160118052934/https://www.facebook.com/payments_terms,3668
secondary,Facebook Platform Policy,https://developers.facebook.com/policy,2016-11-15,2016-01-15T18:27:44Z,http://web.archive.org/web/20160115182744/https://developers.facebook.com/policy,3903
secondary,Self-Serve Ad Terms,https://www.facebook.com/legal/self_service_ads_terms,2016-11-15,2016-01-15T23:54:24Z,http://web.archive.org/web/20160115235424/https://www.facebook.com/legal/self_service_ads_terms,676
secondary,Advertising Policies,https://www.facebook.com/ad_guidelines.php,2016-11-15,2016-03-12T23:34:27Z,http://web.archive.org/web/20160312233427/https://www.facebook.com/ad_guidelines.php,NA
secondary,Pages Terms,https://www.facebook.com/page_guidelines.php,2016-11-15,2016-01-15T13:28:26Z,http://web.archive.org/web/20160115132826/https://www.facebook.com/page_guidelines.php,1446
