para,word
1,facebook
1,ads
1,controls
2,privacy
2,basics
3,cookies
3,policy
4,terms
5,more
5,resources
6,view
6,the
6,complete
6,data
6,policy
7,interactive
7,tools
8,minors
8,and
8,safety
9,facebook
9,privacy
9,page
10,facebook
10,safety
10,page
11,facebook
11,site
11,governance
11,page
12,data
12,policy
13,we
13,give
13,you
13,the
13,power
13,to
13,share
13,as
13,part
13,of
13,our
13,mission
13,to
13,make
13,the
13,world
13,more
13,open
13,and
13,connected
13,this
13,policy
13,describes
13,what
13,information
13,we
13,collect
13,and
13,how
13,it
13,is
13,used
13,and
13,shared
13,you
13,can
13,find
13,additional
13,tools
13,and
13,information
13,atprivacy
13,basics
14,as
14,you
14,review
14,our
14,policy
14,keep
14,in
14,mind
14,that
14,it
14,applies
14,to
14,all
14,facebook
14,brands
14,products
14,and
14,services
14,that
14,do
14,not
14,have
14,a
14,separate
14,privacy
14,policy
14,or
14,that
14,link
14,to
14,this
14,policy
14,which
14,we
14,call
14,the
14,facebook
14,services
14,or
14,services
15,return
15,to
15,top
16,what
16,kinds
16,of
16,information
16,do
16,we
16,collect
17,depending
17,on
17,which
17,services
17,you
17,use
17,we
17,collect
17,different
17,kinds
17,of
17,information
17,from
17,or
17,about
17,you
18,things
18,you
18,do
18,and
18,information
18,you
18,provide
19,we
19,collect
19,the
19,content
19,and
19,other
19,information
19,you
19,provide
19,when
19,you
19,use
19,our
19,services
19,including
19,when
19,you
19,sign
19,up
19,for
19,an
19,account
19,create
19,or
19,share
19,and
19,message
19,or
19,communicate
19,with
19,others
19,this
19,can
19,include
19,information
19,in
19,or
19,about
19,the
19,content
19,you
19,provide
19,such
19,as
19,the
19,location
19,of
19,a
19,photo
19,or
19,the
19,date
19,a
19,file
19,was
19,created
19,we
19,also
19,collect
19,information
19,about
19,how
19,you
19,use
19,our
19,services
19,such
19,as
19,the
19,types
19,of
19,content
19,you
19,view
19,or
19,engage
19,with
19,or
19,the
19,frequency
19,and
19,duration
19,of
19,your
19,activities
20,things
20,others
20,do
20,and
20,information
20,they
20,provide
21,we
21,also
21,collect
21,content
21,and
21,information
21,that
21,other
21,people
21,provide
21,when
21,they
21,use
21,our
21,services
21,including
21,information
21,about
21,you
21,such
21,as
21,when
21,they
21,share
21,a
21,photo
21,of
21,you
21,send
21,a
21,message
21,to
21,you
21,or
21,upload
21,sync
21,or
21,import
21,your
21,contact
21,information
22,your
22,networks
22,and
22,connections
23,we
23,collect
23,information
23,about
23,the
23,people
23,and
23,groups
23,you
23,are
23,connected
23,to
23,and
23,how
23,you
23,interact
23,with
23,them
23,such
23,as
23,the
23,people
23,you
23,communicate
23,with
23,the
23,most
23,or
23,the
23,groups
23,you
23,like
23,to
23,share
23,with
23,we
23,also
23,collect
23,contact
23,information
23,you
23,provide
23,if
23,you
23,upload
23,sync
23,or
23,import
23,this
23,information
23,such
23,as
23,an
23,address
23,book
23,from
23,a
23,device
24,information
24,about
24,payments
25,if
25,you
25,use
25,our
25,services
25,for
25,purchases
25,or
25,financial
25,transactions
25,like
25,when
25,you
25,buy
25,something
25,on
25,facebook
25,make
25,a
25,purchase
25,in
25,a
25,game
25,or
25,make
25,a
25,donation
25,we
25,collect
25,information
25,about
25,the
25,purchase
25,or
25,transaction
25,this
25,includes
25,your
25,payment
25,information
25,such
25,as
25,your
25,credit
25,or
25,debit
25,card
25,number
25,and
25,other
25,card
25,information
25,and
25,other
25,account
25,and
25,authentication
25,information
25,as
25,well
25,as
25,billing
25,shipping
25,and
25,contact
25,details
26,device
26,information
27,we
27,collect
27,information
27,from
27,or
27,about
27,the
27,computers
27,phones
27,or
27,other
27,devices
27,where
27,you
27,install
27,or
27,access
27,our
27,services
27,depending
27,on
27,the
27,permissions
27,you’ve
27,granted
27,we
27,may
27,associate
27,the
27,information
27,we
27,collect
27,from
27,your
27,different
27,devices
27,which
27,helps
27,us
27,provide
27,consistent
27,services
27,across
27,your
27,devices
27,here
27,are
