"","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"2005",1,0.181818181818182,0.303030303030303,0.378787878787879,0.363636363636364,0.5,0.484848484848485,0.46969696969697,0.5,0.454545454545455,0.454545454545455,0.454545454545455,0.424242424242424,0.439393939393939,0.5,0.46969696969697,0.484848484848485,0.515151515151515,0.515151515151515,0.484848484848485,0.515151515151515,0.484848484848485,0.515151515151515,0.560606060606061,0.5,0.53030303030303,0.515151515151515,0.484848484848485,0.53030303030303,0.53030303030303,0.5,0.5,0.515151515151515,0.46969696969697,0.5,0.5,0.5,0.560606060606061,0.575757575757576,0.545454545454545,0.5,0.515151515151515,0.545454545454545,0.575757575757576,0.575757575757576,0.560606060606061,0.590909090909091,0.560606060606061,0.545454545454545,0.560606060606061,0.590909090909091,0.545454545454545,0.575757575757576,0.590909090909091,0.53030303030303,0.53030303030303,0.575757575757576,0.545454545454545,0.590909090909091,0.575757575757576,0.575757575757576,0.575757575757576,0.606060606060606,0.590909090909091,0.545454545454545,0.575757575757576,0.545454545454545,0.575757575757576,0.560606060606061,0.606060606060606,0.545454545454545,0.560606060606061,0.590909090909091,0.575757575757576,0.560606060606061,0.575757575757576,0.545454545454545,0.575757575757576,0.560606060606061,0.590909090909091,0.575757575757576,0.575757575757576,0.606060606060606,0.53030303030303,0.560606060606061,0.560606060606061,0.590909090909091,0.590909090909091,0.53030303030303,0.590909090909091,0.606060606060606,0.590909090909091,0.545454545454545,0.606060606060606,0.515151515151515,0.590909090909091,0.590909090909091,0.606060606060606,0.575757575757576,0.560606060606061,0.606060606060606,0.590909090909091,0.575757575757576,0.575757575757576,0.590909090909091,0.590909090909091,0.606060606060606,0.590909090909091,0.636363636363636,0.590909090909091,0.575757575757576,0.590909090909091,0.575757575757576,0.651515151515151,0.636363636363636,0.590909090909091,0.575757575757576,0.636363636363636,0.545454545454545,0.590909090909091,0.606060606060606,0.590909090909091,0.515151515151515,0.590909090909091,0.53030303030303,0.53030303030303,0.545454545454545,0.575757575757576,0.560606060606061,0.53030303030303,0.575757575757576,0.560606060606061,0.53030303030303,0.590909090909091,0.575757575757576,0.545454545454545,0.545454545454545,0.545454545454545,0.590909090909091,0.53030303030303,0.545454545454545,0.53030303030303,0.5,0.621212121212121,0.575757575757576,0.560606060606061,0.53030303030303,0.53030303030303,0.545454545454545,0.590909090909091,0.545454545454545,0.5,0.515151515151515,0.560606060606061,0.545454545454545,0.545454545454545,0.575757575757576,0.53030303030303,0.515151515151515,0.575757575757576,0.53030303030303,0.560606060606061,0.575757575757576,0.560606060606061,0.560606060606061,0.560606060606061,0.515151515151515,0.515151515151515,0.53030303030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.775716694772344,0.555760368663594,0.48018648018648,0.419763168640261,0.341424465027148,0.315508021390374,0.328231977446637,0.280966767371601,0.243515850144092,0.22126582278481,0.2180384316339,0.116072420304343,0.125291569476841,0.132178162834611,0.128957014328557,0.15383760968566,0.145729201377319,0.163167832944574,0.161057425302677,0.172164833944241,0.172720204376319,0.179273575474842,0.193379984449628,0.20248805953571,0.204820615350439,0.205931356214595,0.212706875485949,0.213262245918027,0.215039431300678,0.225702543596579,0.212706875485949,0.214150838609352,0.232700211040764,0.229256914361879,0.238364989447962,0.256581139620127,0.238364989447962,0.253582139286904,0.263689881150728,0.269576807730756,0.270798622681328,0.284238587137621,0.297900699766744,0.309785627013218,0.313006775519271,0.309674552926802,0.318560479840053,0.334221926024658,0.327335332666889,0.340442074863934,0.333222259246918,0.326002443629901,0.330556481172942,0.33799844496279,0.345995779184716,0.345884705098301,0.354326335665889,0.357436410085527,0.355659224702877,0.376319004776186,0.359991114073087,0.371542819060313,0.360546484505165,0.368432744640675,0.375097189825614,0.378207264245252,0.389536821059647,0.379540153282239,0.385982450294346,0.388870376541153,0.38487170943019,0.396090192158169,0.392646895479285,0.39964456292347,0.389981117405309,0.396534488503832,0.395645895812507,0.397978451627235,0.402310340997445,0.394535154948351,0.390869710096634,0.390314339664556,0.390425413750972,0.401199600133289,0.394201932689104,0.397200933022326,0.394313006775519,0.402310340997445,0.390425413750972,0.389425746973231,0.389425746973231,0.383427746306787,0.386204598467178,0.383983116738865,0.384316338998112,0.396756636676663,0.383316672220371,0.392202599133622,0.386426746640009,0.391202932355881,0.380873042319227,0.38742641341775,0.389981117405309,0.379651227368655,0.381983783183383,0.376430078862601,0.379651227368655,0.385871376207931,0.379651227368655,0.393646562257025,0.376763301121848,0.386426746640009,0.379206931022992,0.383205598133955,0.379318005109408,0.377096523381095,0.374319671220704,0.373431078529379,0.368543818727091,0.377762967899589,0.370876374541819,0.372098189492391,0.367988448295013,0.367210929690103,0.362323669887815,0.363767633011219,0.367322003776519,0.362323669887815,0.35788070643119,0.347772964567366,0.353215594801733,0.366322336998778,0.356881039653449,0.363323336665556,0.350105520382095,0.353882039320227,0.352215928023992,0.34743974230812,0.346440075530379,0.347106520048873,0.343330001110741,0.341886037987338,0.341774963900922,0.345329334666222,0.34743974230812,0.349661224036432,0.343218927024325,0.347661890480951,0.341219593468844,0.340108852604687,0.340886371209597,0.339553482172609,0.34055314895035,0.33366655559258,0.335999111407309,0.342996778851494,0.334888370543152,0.341774963900922,0.33977563034544,0.333333333333333,0.335665889148062,0.334999444629568,0.330667555259358,0.327890703098967,0.328668221703876,0.326113517716317,0.325669221370654
"2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.536182977127859,0.388238164958516,0.299178082191781,0.2963064671152,0.249615130855509,0.232016669686537,0.226966971506311,0.212491164942492,0.194936004451864,0.185975908334149,0.181020629750271,0.0812595005428882,0.0775244299674267,0.0794788273615635,0.0794353963083605,0.0863409337676439,0.0899457111834962,0.0925515743756786,0.0850380021715527,0.0869055374592834,0.0963300760043431,0.0922041259500543,0.101498371335505,0.118306188925081,0.109098805646037,0.114223669923996,0.121302931596091,0.122953311617807,0.128686210640608,0.135114006514658,0.149185667752443,0.157263843648208,0.163561346362649,0.16,0.170988056460369,0.184234527687296,0.1742888165038,0.187578718783931,0.184017372421281,0.18371335504886,0.183973941368078,0.19014115092291,0.194788273615635,0.203474484256243,0.20599348534202,0.212464712269273,0.208773072747014,0.225103148751357,0.21385450597177,0.229185667752443,0.221107491856678,0.231444082519001,0.237350705754615,0.237654723127036,0.245689467969598,0.240912052117264,0.245211726384365,0.246601520086862,0.24343105320304,0.259066232356135,0.255722041259501,0.260542888165038,0.260195439739414,0.25785016286645,0.25928338762215,0.26327904451683,0.265798045602606,0.255244299674267,0.258762214983713,0.256199782844734,0.252117263843648,0.270054288816504,0.251205211726384,0.261194353963084,0.265798045602606,0.262888165038002,0.255200868621064,0.259109663409338,0.257459283387622,0.244733984799131,0.253376764386536,0.249467969598263,0.250162866449511,0.260325732899023,0.252247557003257,0.259370249728556,0.255244299674267,0.258588490770901,0.249511400651466,0.25685124864278,0.253767643865364,0.251986970684039,0.254679695982628,0.248208469055375,0.251813246471227,0.260021715526602,0.252681867535288,0.264755700325733,0.253550488599349,0.257502714440825,0.246775244299674,0.252595005428882,0.252204125950054,0.24486427795874,0.245559174809989,0.2385667752443,0.238523344191097,0.246905537459283,0.243821932681868,0.243561346362649,0.240217155266015,0.241563517915309,0.238957654723127,0.232920738327904,0.239522258414767,0.233702497285559,0.232095548317047,0.228881650380022,0.23157437567861,0.239956568946797,0.229533116178067,0.234701411509229,0.226970684039088,0.232269272529859,0.230445168295331,0.226796959826276,0.229272529858849,0.21971769815418,0.222975027144408,0.221585233441911,0.216112920738328,0.22028230184582,0.220238870792617,0.224060803474484,0.218892508143322,0.224191096634093,0.219891422366992,0.219978284473398,0.220542888165038,0.2128555917481,0.214158523344191,0.212508143322476,0.209641693811075,0.22028230184582,0.217068403908795,0.220021715526602,0.214462540716612,0.213072747014115,0.207817589576547,0.213724212812161,0.213811074918567,0.206514657980456,0.208773072747014,0.204516829533116,0.208903365906623
"2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.504236610711431,0.378249336870027,0.298166587640272,0.256821729628473,0.234639722392325,0.215262348316527,0.184254482016258,0.178508800415665,0.180699205060262,0.161061676142883,0.166068018550514,0.0719741747749386,0.0661998726925525,0.0717695735200509,0.071928707829408,0.0764526689097026,0.0790215513321815,0.083613712830772,0.093548240429208,0.0996862780758389,0.105733381831409,0.102982631626807,0.113690097299263,0.126170773847413,0.119714467582068,0.131513139947258,0.126079839956352,0.123920160043648,0.12671637719378,0.13619623533691,0.138696917341093,0.14151586796399,0.145721560425571,0.150450122760753,0.151109393470947,0.164749477130126,0.156019823588251,0.169478039465309,0.159043375466036,0.169682640720196,0.177502955351459,0.174479403473675,0.186096208056743,0.181731381285805,0.18630080931163,0.184050195507866,0.185800672910794,0.197099208875148,0.195053196326271,0.200054560334637,0.197394744021097,0.200622897153769,0.201600436482677,0.208011275802492,0.209920887514777,0.196871874147495,0.200600163681004,0.19573520050923,0.197190142766209,0.208988815131399,0.194075656997363,0.203419114303901,0.201918705101391,0.201668636900973,0.194666727289261,0.197440210966627,0.196962808038556,0.187073747385651,0.191984177502955,0.192029644448486,0.192711648631445,0.201350368282259,0.191302173319996,0.197917613894699,0.194484859507138,0.196735473310903,0.190779303446394,0.197644812221515,0.195917068291352,0.190370100936619,0.192097844866782,0.186141675002273,0.190711103028099,0.200441029371647,0.191370373738292,0.198895153223606,0.192893516413567,0.192597981267618,0.192256979176139,0.194280258252251,0.191211239428935,0.184663999272529,0.185959807220151,0.179185232336092,0.180390106392653,0.184527598435937,0.182845321451305,0.18248158588706,0.180253705556061,0.181072110575612,0.174570337364736,0.174388469582613,0.179594434845867,0.174229335273256,0.173865599709012,0.169841775029554,0.172319723560971,0.177457488405929,0.168636900972993,0.172637992179685,0.167841229426207,0.16845503319087,0.168204964990452,0.166272619805401,0.165045012276075,0.161816859143403,0.159520778394107,0.159839047012822,0.157656633627353,0.162885332363372,0.160680185505138,0.163749204328453,0.161521323997454,0.162953532781668,0.15858870601073,0.160793852868964,0.162498863326362,0.154792216058925,0.156747294716741,0.154132945348731,0.15442848049468,0.163681003910157,0.156724561243976,0.160975720651087,0.157133763753751,0.156542693461853,0.155496953714649,0.157838501409475,0.159020641993271,0.152405201418569,0.151291261253069,0.147653905610621,0.14794944075657
"2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.508228371793693,0.402347667079573,0.314043876317153,0.270503985947845,0.238469356921133,0.231579899588403,0.226328903654485,0.211489716687522,0.212848710609567,0.185600731147107,0.188731113672168,0.0852303365440531,0.0795102506898994,0.0860233244166253,0.0828513729263367,0.0811385191215809,0.0849871535964643,0.0920817517630764,0.093932056799078,0.0966387887374576,0.097622093699447,0.104198606455979,0.105774009029489,0.116008839171486,0.109760094735618,0.117267046595967,0.112921473054272,0.121750071368909,0.127914230431703,0.127586462111039,0.136763975089608,0.132122352742152,0.135822962814155,0.135220292031001,0.135294304232441,0.147305427209,0.144947609934552,0.147992683365229,0.149557512767105,0.151693293437232,0.153807927764091,0.158068915932712,0.159855781938908,0.149293183476247,0.151333805601666,0.147939817507058,0.147918671163789,0.16237219678787,0.148151280939744,0.154949830300595,0.154907537614058,0.155615940113556,0.147368866238806,0.153184110637668,0.152084500787701,0.141828524302435,0.144640987957158,0.143298195159602,0.146004927097982,0.156451220672665,0.146998805231605,0.151111768997346,0.149240317618076,0.150762854333414,0.145148500195604,0.150509098214191,0.150720561646877,0.144810158703306,0.145930914896542,0.141046109601497,0.145930914896542,0.153987671681874,0.145550280717707,0.153659903361211,0.149198024931539,0.14789752482052,0.145127353852335,0.147992683365229,0.146713329597479,0.140760633967371,0.141024963258229,0.134321572442085,0.13499825542668,0.141680499899555,0.136668816544899,0.138043328857357,0.134977109083412,0.133919791919982,0.131339938041214,0.12960593789319,0.134670487106017,0.129648230579727,0.128580340244663,0.125355522896203,0.127914230431703,0.133084511360873,0.126793474238467,0.131583120988803,0.125884181477918,0.127036657186056,0.126370547373095,0.12510176677698,0.125503547299083,0.121305998160268,0.119476839467535,0.120058363907421,0.116125144059464,0.121972107973229,0.119360534579558,0.122923693420315,0.120999376182874,0.122511339726578,0.117573668573362,0.120174668795399,0.121020522526142,0.115860814768606,0.117922583237294,0.114570887829222,0.114369997568171,0.124530815508728,0.117763985662779,0.122204717749183,0.118482961333911,0.117806278349316,0.115829095253703,0.119254802863215,0.118662705251694,0.112963765740809,0.113746180441747,0.111335497309128,0.112033326636991
"2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.501917057902973,0.396236012207528,0.303081509047068,0.251244234037388,0.225279006635834,0.216366978680246,0.19717669729941,0.18837538895179,0.178249125819217,0.175130220430207,0.165275607626822,0.0779919817169802,0.0715528889729147,0.0770466917631882,0.0738883112116949,0.0814061466089113,0.0870167205111238,0.0846145719226642,0.0926995812921558,0.0885736686703107,0.0907200329183325,0.0906922302726327,0.0904642485778947,0.101835530669098,0.101090419764345,0.103297949832906,0.103164497133547,0.105494358843188,0.10759067832895,0.110932556342062,0.112500625559528,0.103158936604407,0.106267272393641,0.104254360844978,0.10523857450275,0.116415238074055,0.106111577577722,0.110181884908168,0.111516411901757,0.113874076257097,0.105483237784908,0.110076234854509,0.10871390521522,0.10047876155895,0.104632476826495,0.102697412685791,0.105844672179005,0.11342367339676,0.106200546043962,0.110799103642703,0.108291305000584,0.10989273739289,0.105844672179005,0.112100267461452,0.111027085337441,0.104587992593375,0.106523056734079,0.102447188874493,0.105294179794149,0.112689683550287,0.107334893988512,0.111560896134876,0.108285744471444,0.108230139180044,0.104454539894016,0.108380273466823,0.106840006895056,0.101757683261139,0.101251675109403,0.0964807411073238,0.0969367044967999,0.102769699564611,0.0984547289520071,0.0997725743581759,0.0978375102174723,0.0977874654552127,0.0960192171887077,0.0946068427871596,0.0966809201563621,0.0928941998120541,0.0911426331329689,0.0885736686703107,0.0913038884780276,0.0970145519047593,0.0898025456102403,0.0937727634161667,0.0893799453956038,0.0909535751422105,0.090542095985854,0.0899248772513192,0.0905643381024138,0.0860380673824921,0.0859824620910926,0.0848036299134226,0.0822847102130239,0.0875227286628596,0.0845478455729847,0.0877284682410378,0.0872891864389815,0.087000038923704,0.0856043461095758,0.0871334916230628,0.0872613837932818,0.0826906288402404,0.0834969055655336,0.0828296420687393,0.0824904497912021,0.0897914245519604,0.0845422850438448,0.0870890073899432,0.0853763644148377,0.0854097275896774,0.082985336884658,0.0854764539393569,0.0853096380651583,0.0810335911565345,0.0812337702055728,0.0790651638409911,0.0802940407809207
"2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.513391666868653,0.399758302467198,0.301198314613335,0.282337247499955,0.255225947521866,0.221119937523642,0.215273794575266,0.185770715260641,0.173986425538909,0.1608955944739,0.147738841998095,0.0734933823770896,0.0705441886433052,0.0735360767184472,0.0727248842326513,0.0736181812210582,0.0747676442576111,0.0788925744687839,0.0803868764163027,0.0716345364379783,0.074639561233538,0.0728496830766199,0.072504844165654,0.082659529048573,0.0739170416105619,0.0782817169693586,0.0791356037965122,0.0798384183388617,0.0754409011790207,0.077871194456304,0.0773982725212651,0.0706295773260206,0.0731781010870636,0.0711616145029393,0.0738053794870111,0.0812144898026208,0.0747380866366712,0.0783572531117606,0.0766790370783934,0.0784984728562514,0.074902295641893,0.0788498801274262,0.0790797727347368,0.0743735426450787,0.0759236756543729,0.0714736116128609,0.0734835298367763,0.0804624125587047,0.0750862097277415,0.0803211928142139,0.0775000821045026,0.0769647607474794,0.0744096686262275,0.0776708594699333,0.0753719333968275,0.0710269631186574,0.0715163059542185,0.0667903707839338,0.0676442576110874,0.0720549114913462,0.0681730106079017,0.0703898321783967,0.068603238201583,0.0679299812801734,0.0663338697494171,0.0653157739170416,0.0681533055272751,0.0644586029097836,0.0633025715130218,0.061575092778088,0.063394528555946,0.0678084666163092,0.0621793819173043,0.0657558540510362,0.0626424513120299,0.0629051857203849,0.0630234162041446,0.0622582022398108,0.0626424513120299,0.0595881638149036,0.0587211402673323,0.0585109527406483,0.0568557259680121,0.0603303885185064,0.0584584058589773,0.0604880291635193,0.0602679890965221,0.0610003612598115,0.0589510328746428,0.0605865545666524,0.0608098788137541,0.05727610102138,0.0582712075930244,0.0566948011428947,0.0569542513711452,0.0623403067424218,0.0579066636014319,0.0617590068639364,0.0591842096620579,0.0597950671614831,0.0577457387763145,0.0608098788137541,0.0592137672829978,0.0564517718151663,0.0561627639659759,0.0546717461985615,0.0555223488456107
"2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.533587235909974,0.39066430250299,0.312622350190047,0.264606217460652,0.234189141735126,0.219138763930599,0.197744137513826,0.162760711721056,0.155758707859527,0.142830253295932,0.134832648295975,0.0668830279692226,0.0582926354680395,0.0609471051866657,0.0615596751217333,0.0621938651721562,0.0580067694983413,0.0597219653165305,0.0591141998515419,0.0539782213371321,0.0558759870183218,0.0544754839903046,0.0567407916325349,0.0620953735355375,0.0578362108105381,0.0606756526272043,0.0590421328003575,0.0600174402263866,0.0570843112431807,0.0612041443358901,0.0604114067728615,0.0564693390730736,0.0574590599093397,0.0545811823320417,0.0558543669029665,0.0616317421729177,0.057790568344788,0.0611849264555743,0.0588259316468042,0.0592631384239897,0.0568777190297853,0.0590421328003575,0.0575863783664321,0.0543433610631331,0.0535578302052229,0.0511724108110186,0.0507328017987936,0.0550039756989903,0.0513237516185059,0.0527242546465231,0.0518570477972706,0.0514318521952825,0.0494500082877109,0.048630846139248,0.0511411817555053,0.0478741421018115,0.0470597844234276,0.0458730803139241,0.0469757061970457,0.0512084443366108,0.0463487228517413,0.049305874185342,0.0463463206167018,0.0468988346757823,0.0468628011501901,0.0461012926426747,0.0459835831257402,0.0441867113162086,0.0436726330177597,0.0430504541425342,0.041585090768451,0.0454767115324098,0.0434564318642065,0.0448112924264736,0.0450371025201848,0.0459523540702269,0.043703862073273,0.0448713483024606,0.0445830800977229,0.0418661522680702,0.0431321301338766,0.0413496717345819,0.0412271577475683,0.0459643652454243,0.0427117390019674,0.0454622981221729,0.043643806197286,0.0444341415252751,0.0427621859377965,0.0447656499607235,0.0442347560169982,0.0418036941570437,0.0417796718066489,0.0399179396510513,0.0407731353251065
"2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.501554783244924,0.377220809410202,0.305236586492482,0.261088507455777,0.211207473375668,0.194734115383192,0.176147764440454,0.147789458945428,0.145825252453289,0.134281410383303,0.133307916861539,0.0624846226651387,0.0564134846204486,0.0578741928977216,0.0555224304057843,0.056125332759985,0.0531507189388919,0.0561718803682137,0.0555268635113299,0.0526630773288766,0.0523084288852291,0.0492872674559072,0.0506681798333596,0.0553872206866437,0.0518030548530315,0.0553850041338709,0.0530709230390712,0.0527938539424716,0.0506504474111772,0.0529822609281593,0.0511447386795109,0.0478908392090453,0.0481457427779169,0.045692018858431,0.0453706187063755,0.0486621995739786,0.0458250120247988,0.0469842691249715,0.0455013953199705,0.0450447854487744,0.0440052221983327,0.04310751832535,0.0450248364738192,0.0422563620605961,0.0412522636545192,0.0401306879514841,0.0414406706402069,0.0447566335883108,0.0402836300928071,0.0431673652502156,0.04017501900694,0.0412899450516568,0.0407513227278672,0.0405939474809986,0.0408488510498702,0.0381380070087399,0.0383707450498835,0.0377168619819085,0.0367371456563324,0.0391731371536359,0.0379939310785081,0.0392285509729558,0.0390977743593608,0.0395477345722386,0.0381003256116023,0.0389913798262666,0.0387608583378957,0.0364778089819151,0.037406544593717,0.0359746515024903,0.0357973272806666,0.0403479101232182,0.0373577804327154,0.0393460282699141,0.0377589764845916,0.0382399684362885,0.0370385968334327,0.0388938515042635,0.0383574457332467,0.0362650199157267,0.0361940902269972,0.0350680814184164,0.035258704956877
"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.52431391429947,0.390352271643404,0.29850379446356,0.256361098096212,0.209760749378335,0.20275861596531,0.181490865847173,0.158379285415116,0.14867168426679,0.13219824553277,0.129699332074629,0.0591367724384351,0.0534015469882453,0.0558012059199708,0.0524493980550988,0.0519763688409769,0.0499279290253162,0.0512840814503522,0.0504476521103599,0.0467080821000061,0.046159936658749,0.0433116105325131,0.0425868404490732,0.0458939846113243,0.0435328988773169,0.044249548287553,0.0431593479099417,0.0425807499441704,0.0413707696368029,0.0402785390908906,0.0418945530584485,0.0393629331871612,0.0385853787278965,0.037716466695089,0.0382585216314432,0.042257953184319,0.0377814320807195,0.0399902551921554,0.0379154231885823,0.0383234870170737,0.0378951215055728,0.037844367298049,0.0373408855594129,0.0354000446637026,0.0356497553647197,0.0349006232616684,0.0336053758856609,0.0369348518992224,0.0349087439348722,0.0362019611425787,0.0357045699088454,0.0361958706376759,0.0345981281848265,0.0356964492356416,0.0358568325314169,0.0332602472744991,0.0337495178350285,0.0331221958300343,0.0321862882432954,0.0363075298942282,0.0339342631504152,0.0360233063320949,0.0343504476521104,0.0351137909332684,0.0333861177091581,0.0351645451407922,0.0344438353939542,0.0326978906551353,0.0330166270783848,0.0315792679213107,0.031609720445825
